day,month,year,date
18,12,2019,2019-12-18
19,12,2019,2019-12-19
20,12,2019,2019-12-20
21,12,2019,2019-12-21
26,12,2019,2019-12-26
27,12,2019,2019-12-27
28,12,2019,2019-12-28
29,12,2019,2019-12-29
2,1,2020,2020-01-02
7,1,2020,2020-01-07
8,1,2020,2020-01-08
9,1,2020,2020-01-09
10,1,2020,2020-01-10
11,1,2020,2020-01-11
12,1,2020,2020-01-12
15,1,2020,2020-01-15
16,1,2020,2020-01-16
17,1,2020,2020-01-17
18,1,2020,2020-01-18
19,1,2020,2020-01-19
20,1,2020,2020-01-20
21,1,2020,2020-01-21
22,1,2020,2020-01-22
26,1,2020,2020-01-26
